trans_id,inv_id,inv_result,truth
12/11/2018-10:05 2.1.34 3579/arif zae/01,2.1.343579/arifzae/01,2.1.343579/arifzae/01,True
10/11/2018-16:09 2.1.34 9372/lelitasa/01,2.1.349372/lelitasa/01,2.1.349372/lelitasa/01,True
13/11/2018-19:24 2.1.34 490535/yesi/01,2.1.34490535/yesi/01,2.1.34490535/yesi/01,True
13/11/2018-17:44 2.1.34 721472/ana/01,2.1.34721472/ana/01,2.1.34721472/ana/01,True
14/11/2018-11:00 2.1.34 36372/oktavian/01,2.1.3436372/oktavian/01,2.1.3436372/oktavian/01,True
14/11/2018-12:45 2.1.34 9308/april/01,2.1.349308/april/01,2.1.349308/april/01,True
04/09/2018-14:27 2.1.30 15314/rofi/02,2.1.3015314/rofi/02,2.1.3015314/rofi/02,True
28/12/2018-19:23 2.1.34 3699/andi ana/02,2.1.343699/andiana/02,2.1.343699/andiana/02,True
12:22 24/12/2018 102 5 4296 5651,102542965651,102542965651,True
27/12/2018-21:54 2.1.34 1472314/dini/03,2.1.341472314/dini/03,2.1.341472314/dini/03,True
28-12-2018 17:46:58 0091-110-281285x9,0091-110-281285x9,0091-110-281285x9,True
29-12-2018 02:50:41 0084-700-2912cz9x,0084-700-2912cz9x,0084-700-2912cz9x,True
28/12/2018-18:33 2.1.34 9719/fitri nu/01,2.1.349719/fitrinu/01,2.1.349719/fitrinu/01,True
28/12/2018-20:36 2.1.34 303501/rizal f/02,2.1.34303501/rizalf/02,2.1.34303501/rizalf/02,True
26-12-2018 11:14:50 y337-607-26123muz,y337-607-26123muz,y337-607-26123muz,True
28-12-2018 20:05:40 sc24-207-28121745,sc24-207-28121745,sc24-207-28121745,True
29-12-2018 10:19:07 0116-283-2912mvz7,0116-283-2912mvz7,0116-283-2912mvz7,True
29-12-2018 09:41:56 v180-229-29125z9x,v180-229-29125z9x,v180-229-29125z9x,True
29-12-2018 11:09:57 v237-444-29122zdx,v237-444-29122zdx,v237-444-29122zdx,True
14/11/2018-19:50 2.1.34 9330/ulva/02,2.1.349330/ulva/02,2.1.349330/ulva/02,True
14/11/2018-20:17 2.1.34 936159/nunung/01,2.1.34936159/nunung/01,2.1.34936159/nunung/01,True
14/11/2018-21:33 2.1.34 45330/daruli/01,2.1.3445330/daruli/01,2.1.3445330/daruli/01,True
14/11/2018-21:09 2.1.34 30314/andre/02,2.1.3430314/andre/02,2.1.3430314/andre/02,True
15-11-2018 07:13:43 m684-814-15118343,m684-814-15118343,m684-814-15118343,True
15-11-2018 09:31:06 w176-888-1511umu4,w176-888-1511umu4,w176-888-1511umu4,True
03/11/2018-19:43 2.1.31 99535/sintia/01,2.1.3199535/sintia/01,2.1.3199535/sintia/01,True
15/11/2018-16:38 2.1.34 150214/rafi/01,2.1.34150214/rafi/01,2.1.34150214/rafi/01,True
16/11/2018-10:06 2.1.34 301526/kiki ku/03,2.1.34301526/kikiku/03,2.1.34301526/kikiku/03,True
16/11/2018-19:55 2.1.34 99314/lulukss/01,2.1.3499314/lulukss/01,2.1.3499314/lulukss/01,True
16/11/2018-17:21 2.1.34 1508/iqbal/03,2.1.341508/iqbal/03,2.1.341508/iqbal/03,True
17/11/2018-09:51 2.1.34 4 9308/ilham/02,2.1.3449308/ilham/02,2.1.3449308/ilham/02,True
17/11/2018-18:24 2.1.34 353509/komariy/01,2.1.34353509/komariy/01,2.1.34353509/komariy/01,True
19/12/2018-07:27 2.1.34 499/ranti/01,2.1.34499/ranti/01,2.1.34499/ranti/01,True
11/11/2018-09:29 2.1.34 1539/rinna ka/02,2.1.341539/rinnaka/02,2.1.341539/rinnaka/02,True
23/11/2018-10:15 2.1.34 93079/gunawan/01,2.1.3493079/gunawan/01,2.1.3493079/gunawan/01,True
23/11/2018-17:26 2.1.34 15335/amelia n/01,2.1.3415335/amelian/01,2.1.3415335/amelian/01,True
23/11/2018-18:06 2.1.34 7299/refi dwi/01,2.1.347299/refidwi/01,2.1.347299/refidwi/01,True
24/11/2018-06:40 2.1.34 914908/zamil/03,2.1.34914908/zamil/03,2.1.34914908/zamil/03,True
25-11-2018 07:49:57 ac83-806-2511h9y9,ac83-806-2511h9y9,ac83-806-2511h9y9,True
25-11-2018 09:51:55 w468-654-2511xvw3,w468-654-2511xvw3,w468-654-2511xvw3,True
26/11/2018-19:23 2.1.34 935149/anggun/01,2.1.34935149/anggun/01,2.1.34935149/anggun/01,True
28-12-2018 11:57:45 ka01-808-28124345,ka01-808-28124345,ka01-808-28124345,True
25/12/2018-19:13 2.1.34 15335/meli/02,2.1.3415335/meli/02,2.1.3415335/meli/02,True
28/12/2018-18:34 2.1.34 3537/harum sa/01,2.1.343537/harumsa/01,2.1.343537/harumsa/01,True
28-12-2018 12:59:37 w146-212-28129zux,w146-212-28129zux,w146-212-28129zux,True
28/12/2018-13:56 2.1.34 915545/apri/01,2.1.34915545/apri/01,2.1.34915545/apri/01,True
29-12-2018 17:27:40 cd56-700-2912utu6,cd56-700-2912utu6,cd56-700-2912utu6,True
27/12/2018-11:41 2.1.34 72308/adi rina/01,2.1.3472308/adirina/01,2.1.3472308/adirina/01,True
29-12-2018 09:14:12 me28-100-2912mcx5,me28-100-2912mcx5,me28-100-2912mcx5,True
29/12/2018-20:54 2.1.34 45372/titi/01,2.1.3445372/titi/01,2.1.3445372/titi/01,True
30/12/2018-07:51 2.1.34 349/narti/01,2.1.34349/narti/01,2.1.34349/narti/01,True
30/12/2018-12:44 2.1.34 9335/sigit/02,2.1.349335/sigit/02,2.1.349335/sigit/02,True
30/12/2018-15:49 2.1.34 9330/m mahrus/01,2.1.349330/mmahrus/01,2.1.349330/mmahrus/01,True
30/12/2018-17:20 2.1.34 361401/diyah a/01,2.1.34361401/diyaha/01,2.1.34361401/diyaha/01,True
28-12-2018 17:33:42 l291-123-2812w2y2,l291-123-2812w2y2,l291-123-2812w2y2,True
30-12-2018 09:01:04 sa75-122-30122wux,sa75-122-30122wux,sa75-122-30122wux,True
29/12/2018-17:35 2.1.34 350249/dosma/01,2.1.34350249/dosma/01,2.1.34350249/dosma/01,True
30/12/2018-23:16 2.1.34 351115/and/02,2.1.34351115/and/02,2.1.34351115/and/02,True
31/12/2018-05:45 2.1.34 9351114/sidik /02,2.1.349351114/sidik/02,2.1.349351114/sidik/02,True
30/12/2018-16:56 2.1.34 35309/ardi/01,2.1.3435309/ardi/01,2.1.3435309/ardi/01,True
29/12/2018-21:12 2.1.34 1472117/fatma/01,2.1.341472117/fatma/01,2.1.341472117/fatma/01,True
30-12-2018 21:28:35 aa57-100-3012x585,aa57-100-3012x585,aa57-100-3012x585,True
31-12-2018 09:04:24 b776-309-3112tkw5,b776-309-3112tkw5,b776-309-3112tkw5,True
31/12/2018-19:52 2.1.34 149336/meina i/01,2.1.34149336/meinai/01,2.1.34149336/meinai/01,True
31-12-2018 18:44:49 me28-100-31125wvx,me28-100-31125wvx,me28-100-31125wvx,True
31-12-2018 13:26:04 y341-609-3112vmux,y341-609-3112vmux,y341-609-3112vmux,True
01/01/2019-14:31 2.1.34 935372/atik/01,2.1.34935372/atik/01,2.1.34935372/atik/01,True
-10:01 01-01-2019 18:10:01 c315-444-0101huz2,c315-444-0101huz2,c315-444-0101huz2,True
31/12/2018-21:18 2.1.34 149336/nur/01,2.1.34149336/nur/01,2.1.34149336/nur/01,True
01/01/2019-18:44 2.1.34 45372/jub/01,2.1.3445372/jub/01,2.1.3445372/jub/01,True
01/01/2019-18:05 2.1.34 36059/yesi dwi/01,2.1.3436059/yesidwi/01,2.1.3436059/yesidwi/01,True
01-01-2019 12:36:59 n221-339-0101 wd82,n221-339-0101wd82,n221-339-0101wd82,True
31-12-2018 10:55:35 sb69-120-3112x587,sb69-120-3112x587,sb69-120-3112x587,True
01-01-2019 17:52:05 ca20-504-01017zd4,ca20-504-01017zd4,ca20-504-01017zd4,True
02/01/2019-09:27 2.1.34 36136/mira pus/02,2.1.3436136/mirapus/02,2.1.3436136/mirapus/02,True
01-01-2019 10:16:50 h385-444-0101ky98,h385-444-0101ky98,h385-444-0101ky98,True
02-01-2019 09:56:17 1a72-323-0201xdz3,1a72-323-0201xdz3,1a72-323-0201xdz3,True
14 78604 145402 28/12/2018 09:37,1478604145402,1478604145402,True
30/12/2018-10:26 2.1.34 35330/dewi ang/01,2.1.3435330/dewiang/01,2.1.3435330/dewiang/01,True
30/08/2018-17:23 2.1.30 14349/reizky s/01,2.1.3014349/reizkys/01,2.1.3014349/reizkys/01,True
30/08/2018-13:18 2.1.30 930314/dini/01,2.1.30930314/dini/01,2.1.30930314/dini/01,True
30/08/2018-10:37 2.1.30 14336/putri/01,2.1.3014336/putri/01,2.1.3014336/putri/01,True
09/08/2018-06:28 2.1.29 1401/soleh su/03,2.1.291401/solehsu/03,2.1.291401/solehsu/03,True
v619-555-0808um94,v619-555-0808um94,v619-555-0808um94,True
00030010091 05082018 14:53:49 0006 60199534 30/870,000300100910006,0003001009105082018000660199534,False
15/08/2018-13:08 2.1.30 149494/tiya ri/01,2.1.30149494/tiyari/01,2.1.30149494/tiyari/01,True
15/08/2018-14:56 2.1.30 451508/sisca/01,2.1.30451508/sisca/01,2.1.30451508/sisca/01,True
22/08/2018-21:28 2.1.30 9451435/diana/02,2.1.309451435/diana/02,2.1.309451435/diana/02,True
24/08/2018-17:08 2.1.30 14498/imah/02,2.1.3014498/imah/02,2.1.3014498/imah/02,True
24/08/2018-20:52 2.1.30 930154/arum wa/01,2.1.30930154/arumwa/01,2.1.30930154/arumwa/01,True
24/08/2018-21:11 2.1.30 14737/puja/01,2.1.3014737/puja/01,2.1.3014737/puja/01,True
24-08-2018 15:54:53 sj24-112-2408um24,sj24-112-2408um24,sj24-112-2408um24,True
24/08/2018-18:11 2.1.30 491136/unun/01,2.1.30491136/unun/01,2.1.30491136/unun/01,True
25-08-2018 10:49:28 mb28-202-2508m9x9,mb28-202-2508m9x9,mb28-202-2508m9x9,True
25/08/2018-08:16 2.1.30 15144/aji/02,2.1.3015144/aji/02,2.1.3015144/aji/02,True
25/08/2018-18:01 2.1.30 351414/adi/01,2.1.30351414/adi/01,2.1.30351414/adi/01,True
25/08/2018-19:22 2.1.30 49454/deni/02,2.1.3049454/deni/02,2.1.3049454/deni/02,True
"25/08/2018-21:13 2.1.30 936172/cici ap/01 ,40291",2.1.30936172/ciciap/01,"2.1.30936172/ciciap/01,40291",False
25/08/2018-20:17 2.1.30 2.1.30 36119/nurul/02,2.1.3036119/nurul/02,2.1.302.1.3036119/nurul/02,False
27/11/2018-11:08 2.1.34 30315/wawan/01,2.1.3430315/wawan/01,2.1.3430315/wawan/01,True
27/11/2018-15:11 2.1.34 945330/irna/01,2.1.34945330/irna/01,2.1.34945330/irna/01,True
28-11-2018 22:52:39 sf74-502-281149z2,sf74-502-281149z2,sf74-502-281149z2,True
26-11-2018 13:07:55 p339-333-2611z563,p339-333-2611z563,p339-333-2611z563,True
28/11/2018-17:25 2.1.34 15336/nazila/01,2.1.3415336/nazila/01,2.1.3415336/nazila/01,True
28/11/2018-18:35 2.1.34 15315/uliel/01,2.1.3415315/uliel/01,2.1.3415315/uliel/01,True
28/11/2018-20:34 2.1.34 9151501/intan /01,2.1.349151501/intan/01,2.1.349151501/intan/01,True
04-09-2018 18:49:30 1ml4-627-0409x7w7,1ml4-627-0409x7w7,1ml4-627-0409x7w7,True
29/11/2018-14:21 2.1.34 9493508/anisa/03,2.1.349493508/anisa/03,2.1.349493508/anisa/03,True
19-11-2018 09:26:38 y216-808--1911t3m5,y216-808--1911t3m5,y216-808--1911t3m5,True
29-11-2018 19:08:55 k481-703-2911dzv4,k481-703-2911dzv4,k481-703-2911dzv4,True
